model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,seed,ci_coverage,pi_coverage
PCGP,25,borehole,0,0,0.508882999420166,0.03470897674560547,305.14149524945174,42,90.0,90.0
Surmise,25,borehole,0,0,0.01970195770263672,0.0004210472106933594,232.13360547677024,42,90.66666666666666,90.66666666666666
PCGP,25,otlcircuit,0,0,0.8020138740539551,0.012663125991821289,0.08103792074225286,42,92.66666666666666,95.33333333333334
Surmise,25,otlcircuit,0,0,0.0055849552154541016,0.00017404556274414062,0.1051651991445273,42,93.33333333333333,95.33333333333334
PCGP,25,piston,0,0,0.4180750846862793,0.03724074363708496,0.1846364996851207,42,94.66666666666667,95.33333333333334
Surmise,25,piston,0,0,0.009119033813476562,0.00022602081298828125,0.11573047820363377,42,81.33333333333333,88.66666666666667
PCGP,50,borehole,0,0,0.7814731597900391,0.021765947341918945,302.1644129749089,42,83.33333333333334,83.33333333333334
Surmise,50,borehole,0,0,0.00846409797668457,0.00019598007202148438,200.8610971532515,42,90.66666666666666,90.66666666666666
PCGP,50,otlcircuit,0,0,1.4292128086090088,0.05082082748413086,0.03898281816658603,42,100.0,100.0
Surmise,50,otlcircuit,0,0,0.014760017395019531,0.0002758502960205078,0.044123666216562676,42,100.0,100.0
PCGP,50,piston,0,0,3.9031617641448975,0.10047388076782227,0.08348220722817211,42,84.66666666666667,93.33333333333333
Surmise,50,piston,0,0,0.05129504203796387,0.00033283233642578125,0.07094448109914255,42,92.66666666666666,98.0
PCGP,100,borehole,0,0,2.1533491611480713,0.014467954635620117,243.06377280364052,42,90.0,90.0
Surmise,100,borehole,0,0,0.011445045471191406,0.0003151893615722656,164.73317938005687,42,90.66666666666666,90.66666666666666
PCGP,100,otlcircuit,0,0,2.432939052581787,0.042678117752075195,0.022172317386227502,42,100.0,100.0
Surmise,100,otlcircuit,0,0,0.08243083953857422,0.0003712177276611328,0.025719293072652027,42,100.0,100.0
PCGP,100,piston,0,0,7.425704002380371,0.06124401092529297,0.05379695628949584,42,91.33333333333333,98.0
Surmise,100,piston,0,0,0.12546586990356445,0.005867958068847656,0.053607115480512266,42,94.0,97.33333333333334
PCGP,250,borehole,0,0,1.462050199508667,0.012464284896850586,194.82293117724635,42,96.66666666666667,96.66666666666667
Surmise,250,borehole,0,0,0.018233776092529297,0.005364894866943359,147.59612868090247,42,98.0,98.0
PCGP,250,otlcircuit,0,0,5.215839862823486,0.03694891929626465,0.012407802192169618,42,100.0,100.0
Surmise,250,otlcircuit,0,0,0.19330310821533203,0.001094818115234375,0.015453727842584222,42,100.0,100.0
PCGP,250,piston,0,0,6.8400719165802,0.060021162033081055,0.03903324636131649,42,91.33333333333333,98.0
Surmise,250,piston,0,0,0.5959177017211914,0.0012850761413574219,0.037122348323616876,42,94.0,98.0
PCGP,500,borehole,0,0,2.791727066040039,0.06662678718566895,194.17009802975733,42,95.33333333333334,95.33333333333334
