model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,seed,ci_coverage,pi_coverage
PCGP,200,borehole,0,0,0.8149147033691406,0.017298221588134766,18.320379536461953,42,74.66666666666667,74.66666666666667
Surmise,200,borehole,0,0,0.010391950607299805,0.0007441043853759766,18.540514624802512,42,75.33333333333333,75.33333333333333
PCGP,600,borehole,0,0,6.883343935012817,0.009610891342163086,18.306360936777104,42,73.33333333333333,73.33333333333333
Surmise,600,borehole,0,0,0.06751203536987305,0.0034837722778320312,18.667633273363705,42,73.33333333333333,73.33333333333333
PCGP,1000,borehole,0,0,9.866478204727173,0.01736283302307129,18.282300248748488,42,74.0,74.0
Surmise,1000,borehole,0,0,0.2538330554962158,0.007940053939819336,18.489016976795714,42,73.33333333333333,73.33333333333333
