model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,ci_coverage,pi_coverage
PCGP,200,borehole,0,0,5.34003210067749,0.08977913856506348,16.136801700681623,53.333333333333336,53.333333333333336
Surmise,200,borehole,0,0,0.01557612419128418,0.0005939006805419922,16.199010450976814,54.0,54.0
PCGP,200,otlcircuit,0,0,11.506530284881592,0.16855716705322266,0.018382840924126138,100.0,100.0
Surmise,200,otlcircuit,0,0,0.07075881958007812,0.0007929801940917969,0.02151945637980667,100.0,100.0
PCGP,200,piston,0,0,8.211910963058472,0.042511940002441406,0.035902293168829105,94.0,100.0
Surmise,200,piston,0,0,0.3871910572052002,0.0010869503021240234,0.04487935393981822,90.0,99.33333333333333
PCGP,600,borehole,0,0,19.04547905921936,0.12996697425842285,308.32507582944686,1.3333333333333335,1.3333333333333335
Surmise,600,borehole,0,0,0.3599720001220703,0.07600808143615723,308.31877912855623,2.0,2.0
PCGP,600,otlcircuit,0,0,44.9174427986145,0.20029377937316895,0.02355825556240018,100.0,100.0
Surmise,600,otlcircuit,0,0,0.6269879341125488,0.008233070373535156,0.02419635519023243,100.0,100.0
PCGP,600,piston,0,0,44.19193482398987,0.06047701835632324,0.03333393287153324,94.0,98.0
Surmise,600,piston,0,0,1.1701960563659668,0.004800081253051758,0.03115016803297587,92.0,98.0
PCGP,1000,borehole,0,0,40.17394185066223,0.19391989707946777,18.274652048204185,74.0,74.0
Surmise,1000,borehole,0,0,1.7913038730621338,0.008976936340332031,18.494469272109,73.33333333333333,73.33333333333333
PCGP,1000,otlcircuit,0,0,65.11305093765259,0.10465788841247559,0.009709165057006027,100.0,100.0
Surmise,1000,otlcircuit,0,0,0.6159529685974121,0.01559901237487793,0.012092331069933102,100.0,100.0
PCGP,1000,piston,0,0,107.98730683326721,0.3258378505706787,0.017589072239509323,94.66666666666667,100.0
Surmise,1000,piston,0,0,0.5406270027160645,0.010490179061889648,0.020688901605185408,95.33333333333334,100.0
PCGP,200,borehole,0,1,3.8276429176330566,0.013706207275390625,32.12625591090444,45.33333333333333,45.33333333333333
Surmise,200,borehole,0,1,0.023623943328857422,0.0006377696990966797,32.12573419181277,44.0,44.0
PCGP,200,otlcircuit,0,1,9.345436334609985,0.03971219062805176,0.017268269458987878,100.0,100.0
Surmise,200,otlcircuit,0,1,0.1356220245361328,0.0008139610290527344,0.0174759252192613,100.0,100.0
PCGP,200,piston,0,1,13.775696754455566,0.1562337875366211,0.04263391035288292,93.33333333333333,98.66666666666667
Surmise,200,piston,0,1,0.3032550811767578,0.0030317306518554688,0.04502053660840223,91.33333333333333,99.33333333333333
PCGP,600,borehole,0,1,9.819610118865967,0.03788018226623535,38.75785116557483,45.33333333333333,45.33333333333333
Surmise,600,borehole,0,1,0.3020920753479004,0.07099604606628418,38.76365330193818,46.0,46.0
PCGP,600,otlcircuit,0,1,35.35741901397705,0.1430797576904297,0.014558542822904889,100.0,100.0
Surmise,600,otlcircuit,0,1,0.7144007682800293,0.004478931427001953,0.016359226839275834,100.0,100.0
PCGP,600,piston,0,1,45.30561304092407,0.08258605003356934,0.03900925900864455,96.66666666666667,98.66666666666667
Surmise,600,piston,0,1,0.7792372703552246,0.004415988922119141,0.045938600685839874,96.0,98.0
PCGP,1000,borehole,0,1,49.69537615776062,0.09926772117614746,14.634200331450655,49.333333333333336,49.333333333333336
Surmise,1000,borehole,0,1,1.6836588382720947,0.0708763599395752,14.626399566427004,52.0,52.0
PCGP,1000,otlcircuit,0,1,57.61417078971863,0.17136216163635254,0.009820794472880846,100.0,100.0
Surmise,1000,otlcircuit,0,1,2.268684148788452,0.010119199752807617,0.012049957563212319,100.0,100.0
PCGP,1000,piston,0,1,115.92967677116394,0.2242431640625,0.021324800645697035,96.0,99.33333333333333
Surmise,1000,piston,0,1,2.4706339836120605,0.0165860652923584,0.02425207903105995,97.33333333333334,99.33333333333333
PCGP,200,borehole,0,2,5.757072925567627,0.07816815376281738,7.871525483640973,90.0,90.0
Surmise,200,borehole,0,2,0.04802894592285156,0.0019261837005615234,8.213004460881143,90.66666666666666,90.66666666666666
PCGP,200,otlcircuit,0,2,7.831817865371704,0.11926102638244629,0.011913995565303577,100.0,100.0
Surmise,200,otlcircuit,0,2,0.3022270202636719,0.0010509490966796875,0.015244751095258188,100.0,100.0
PCGP,200,piston,0,2,12.965084314346313,0.04546713829040527,0.03989312264314239,90.66666666666666,97.33333333333334
Surmise,200,piston,0,2,0.49623918533325195,0.00115203857421875,0.04037467943754676,93.33333333333333,97.33333333333334
PCGP,600,borehole,0,2,38.10095691680908,0.01985001564025879,229.63799086402418,2.0,2.0
Surmise,600,borehole,0,2,0.41203784942626953,0.05924701690673828,229.53324631400997,1.3333333333333335,1.3333333333333335
