model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,coverage
PCGP,500,otlcircuit,0,3,20.614055156707764,0.06616497039794922,0.012019846721007203,1.0
Surmise,500,otlcircuit,0,3,0.4850318431854248,0.0059468746185302734,0.01600411084044725,1.0
PCGP,500,piston,0,3,38.2713360786438,0.07358384132385254,0.0362648593453255,0.9133333333333333
Surmise,500,piston,0,3,1.407336950302124,0.0341191291809082,0.03867498150006283,0.94
PCGP,800,borehole,0,3,36.10025596618652,0.21250605583190918,135.85422811419045,0.24
Surmise,800,borehole,0,3,2.0350501537323,0.040619850158691406,135.6319496954613,0.2733333333333333
PCGP,800,otlcircuit,0,3,75.32139301300049,0.17268013954162598,0.008863739308215452,1.0
Surmise,800,otlcircuit,0,3,1.7850990295410156,0.006211996078491211,0.010523562414236907,1.0
PCGP,800,piston,0,3,80.02985310554504,0.1315321922302246,0.022751429551750066,0.9733333333333334
Surmise,800,piston,0,3,1.9188628196716309,0.048388004302978516,0.02618773675386676,0.9733333333333334
PCGP,100,borehole,0,4,1.505079746246338,0.21268391609191895,20.114364546089195,0.5666666666666667
Surmise,100,borehole,0,4,0.017625093460083008,0.0003421306610107422,19.41219612341985,0.5866666666666667
PCGP,100,otlcircuit,0,4,6.3225390911102295,0.042088985443115234,0.026083335052903354,1.0
Surmise,100,otlcircuit,0,4,0.1941509246826172,0.0005397796630859375,0.03166149386981361,1.0
PCGP,100,piston,0,4,11.644933938980103,0.06845402717590332,0.0550784867221775,0.9133333333333333
Surmise,100,piston,0,4,0.6116700172424316,0.0004942417144775391,0.052792686112567336,0.9133333333333333
PCGP,200,borehole,0,4,5.590045213699341,0.13100409507751465,10.691635226028367,0.44
Surmise,200,borehole,0,4,0.040689945220947266,0.0007910728454589844,10.635907482022168,0.44666666666666666
PCGP,200,otlcircuit,0,4,6.863080978393555,0.07959318161010742,0.021711478148752416,1.0
Surmise,200,otlcircuit,0,4,0.22469878196716309,0.0033028125762939453,0.020319189432936605,1.0
PCGP,200,piston,0,4,8.27970004081726,0.08590888977050781,0.035142630566704317,0.96
Surmise,200,piston,0,4,1.4794790744781494,0.0034279823303222656,0.03984572549349799,0.9466666666666667
PCGP,300,borehole,0,4,16.79094386100769,0.048693180084228516,9.219303257378288,0.5133333333333333
Surmise,300,borehole,0,4,0.3239281177520752,0.0013098716735839844,9.062796005970343,0.5133333333333333
PCGP,300,otlcircuit,0,4,12.05776834487915,0.08585119247436523,0.014529185746012242,1.0
Surmise,300,otlcircuit,0,4,0.4198272228240967,0.0014007091522216797,0.01859097660956452,1.0
PCGP,300,piston,0,4,15.052807331085205,0.11807799339294434,0.02600495976793314,0.9733333333333334
Surmise,300,piston,0,4,1.216472864151001,0.006242275238037109,0.03170945900659081,0.9133333333333333
PCGP,500,borehole,0,4,13.02418303489685,0.1682288646697998,53.81462221904763,0.35333333333333333
Surmise,500,borehole,0,4,0.5216999053955078,0.002706289291381836,53.79300167122585,0.36666666666666664
PCGP,500,otlcircuit,0,4,47.169739961624146,0.2282118797302246,0.012064789609988906,1.0
Surmise,500,otlcircuit,0,4,0.8936481475830078,0.00413060188293457,0.01102222881115763,1.0
PCGP,500,piston,0,4,33.165558099746704,0.1567089557647705,0.025733046729728662,0.96
Surmise,500,piston,0,4,1.748175859451294,0.027129173278808594,0.028164951548276824,0.94
PCGP,800,borehole,0,4,19.75684905052185,0.10459113121032715,8.611017639514445,0.66
Surmise,800,borehole,0,4,0.44180774688720703,0.007886171340942383,8.633141574051955,0.6666666666666666
PCGP,800,otlcircuit,0,4,62.09940814971924,0.2938070297241211,0.015268272705795512,1.0
Surmise,800,otlcircuit,0,4,2.28181791305542,0.01903986930847168,0.017135022653532807,1.0
PCGP,800,piston,0,4,79.7394540309906,0.2021019458770752,0.02182587397202421,0.94
Surmise,800,piston,0,4,3.282464027404785,0.008561134338378906,0.02583511852687285,0.94
PCGP,100,borehole,0,5,2.8640129566192627,0.026404857635498047,62.99723844573845,0.29333333333333333
Surmise,100,borehole,0,5,0.02197098731994629,0.00032591819763183594,63.135528612214834,0.2733333333333333
PCGP,100,otlcircuit,0,5,6.564513683319092,0.008150100708007812,0.020426521189697157,1.0
Surmise,100,otlcircuit,0,5,0.3788878917694092,0.0004489421844482422,0.027611878694418123,1.0
PCGP,100,piston,0,5,14.569575786590576,0.16091203689575195,0.041760862977740024,0.9533333333333334
Surmise,100,piston,0,5,0.5141501426696777,0.0007109642028808594,0.04430193959020142,0.96
PCGP,200,borehole,0,5,4.424422025680542,0.010345935821533203,36.01922162598552,0.26666666666666666
Surmise,200,borehole,0,5,0.037369728088378906,0.0007312297821044922,36.078601608830375,0.25333333333333335
PCGP,200,otlcircuit,0,5,8.108512878417969,0.044200897216796875,0.021242916254248647,1.0
Surmise,200,otlcircuit,0,5,0.1643362045288086,0.0007796287536621094,0.02155659719618437,1.0
PCGP,200,piston,0,5,10.5888512134552,0.01752495765686035,0.039324802683159056,0.9
Surmise,200,piston,0,5,1.045210838317871,0.00115203857421875,0.04217223461564948,0.9066666666666666
PCGP,300,borehole,0,5,7.4334471225738525,0.07300996780395508,20.39471616052777,0.6266666666666667
Surmise,300,borehole,0,5,0.20397114753723145,0.0013129711151123047,20.509131658784863,0.62
PCGP,300,otlcircuit,0,5,10.032809257507324,0.05804014205932617,0.013513070655693423,1.0
Surmise,300,otlcircuit,0,5,0.30567502975463867,0.001444101333618164,0.018549061457548168,1.0
PCGP,300,piston,0,5,15.109920978546143,0.1037750244140625,0.041644353759116716,0.8933333333333333
Surmise,300,piston,0,5,1.403642177581787,0.0017879009246826172,0.05306838776959939,0.8866666666666667
PCGP,500,borehole,0,5,10.88834261894226,0.24753427505493164,268.1968249306744,0.006666666666666667
Surmise,500,borehole,0,5,0.7283608913421631,0.002543210983276367,268.09895008854306,0.006666666666666667
PCGP,500,otlcircuit,0,5,25.39418601989746,0.07760405540466309,0.009903544979590215,1.0
Surmise,500,otlcircuit,0,5,0.777411937713623,0.0035500526428222656,0.011552834870639558,1.0
PCGP,500,piston,0,5,32.040661096572876,0.13855504989624023,0.026183741464671513,0.94
Surmise,500,piston,0,5,1.051171064376831,0.0064830780029296875,0.02991059972354819,0.9733333333333334
PCGP,800,borehole,0,5,15.148808002471924,0.19213008880615234,36.077302680092274,0.49333333333333335
Surmise,800,borehole,0,5,1.9696400165557861,0.045249223709106445,36.05020397001516,0.5066666666666667
PCGP,800,otlcircuit,0,5,89.76237297058105,0.07803511619567871,0.009934884258162547,1.0
Surmise,800,otlcircuit,0,5,2.2079100608825684,0.007803916931152344,0.012144699823264967,1.0
PCGP,800,piston,0,5,85.33382201194763,0.11034202575683594,0.028201243440914507,0.92
Surmise,800,piston,0,5,0.9744241237640381,0.007980108261108398,0.03273981510373268,0.94
PCGP,100,borehole,0,6,2.4814059734344482,0.007664203643798828,730.9619773222831,0.0
Surmise,100,borehole,0,6,0.027799606323242188,0.057360172271728516,730.7433332068111,0.0
PCGP,100,otlcircuit,0,6,7.699080944061279,0.020733118057250977,0.02447100057075458,1.0
Surmise,100,otlcircuit,0,6,0.44725704193115234,0.00046181678771972656,0.028303111759879672,1.0
PCGP,100,piston,0,6,16.65094518661499,0.024678945541381836,0.05613185912994991,0.9666666666666667
Surmise,100,piston,0,6,0.44148778915405273,0.0006561279296875,0.060112747972109894,0.9533333333333334
PCGP,200,borehole,0,6,5.185774803161621,0.009096145629882812,17.077468581645718,0.6266666666666667
Surmise,200,borehole,0,6,0.029102087020874023,0.0007796287536621094,17.500437334276636,0.64
PCGP,200,otlcircuit,0,6,7.886648178100586,0.07514595985412598,0.019548457819468616,1.0
Surmise,200,otlcircuit,0,6,0.25430822372436523,0.0007619857788085938,0.02189194794047558,1.0
PCGP,200,piston,0,6,12.837385892868042,0.02692389488220215,0.042760406542665615,0.96
Surmise,200,piston,0,6,0.844937801361084,0.0012009143829345703,0.03894708430422914,0.96
PCGP,300,borehole,0,6,12.59013295173645,0.04731321334838867,129.1843036030515,0.2866666666666667
Surmise,300,borehole,0,6,0.1043860912322998,0.005728721618652344,129.60899602387906,0.29333333333333333
PCGP,300,otlcircuit,0,6,10.232267141342163,0.032557010650634766,0.010908952465342311,1.0
Surmise,300,otlcircuit,0,6,0.4579038619995117,0.0014231204986572266,0.011626252222929715,1.0
PCGP,300,piston,0,6,18.699225902557373,0.03830981254577637,0.033426528230564315,0.96
Surmise,300,piston,0,6,1.3709099292755127,0.001634836196899414,0.04430574200311716,0.9333333333333333
PCGP,500,borehole,0,6,14.007317304611206,0.1406552791595459,25.476593254527906,0.43333333333333335
Surmise,500,borehole,0,6,0.633342981338501,0.09797000885009766,25.440128046162428,0.4266666666666667
PCGP,500,otlcircuit,0,6,25.346456050872803,0.12209081649780273,0.011142511965393396,1.0
Surmise,500,otlcircuit,0,6,0.8972940444946289,0.003386974334716797,0.013341914856359442,1.0
PCGP,500,piston,0,6,43.52642488479614,0.10005497932434082,0.03372263436938249,0.9666666666666667
Surmise,500,piston,0,6,1.4019577503204346,0.004586935043334961,0.03782926424605525,0.9666666666666667
PCGP,800,borehole,0,6,16.76040506362915,0.1815779209136963,44.201778644552704,0.43333333333333335
Surmise,800,borehole,0,6,1.8755741119384766,0.0067310333251953125,44.24182460664464,0.44
PCGP,800,otlcircuit,0,6,95.98996829986572,0.18113994598388672,0.010334683326141762,1.0
Surmise,800,otlcircuit,0,6,1.70149827003479,0.012387752532958984,0.012888098334348265,1.0
PCGP,800,piston,0,6,116.68717312812805,0.08904600143432617,0.015889777696149333,0.9866666666666667
Surmise,800,piston,0,6,1.087878942489624,0.009926319122314453,0.02155088090776523,0.9666666666666667
PCGP,100,borehole,0,7,5.436824083328247,0.014400005340576172,158.68712852385423,0.23333333333333334
Surmise,100,borehole,0,7,0.030841827392578125,0.023602962493896484,159.30940240950667,0.21333333333333335
PCGP,100,otlcircuit,0,7,5.8085339069366455,0.035710811614990234,0.026069227867764114,1.0
Surmise,100,otlcircuit,0,7,0.16678214073181152,0.0007569789886474609,0.02941181737745911,1.0
PCGP,100,piston,0,7,11.194567918777466,0.06994009017944336,0.045769364872084155,0.9066666666666666
Surmise,100,piston,0,7,0.6523373126983643,0.0007221698760986328,0.046482313654022334,0.88
PCGP,200,borehole,0,7,4.234586954116821,0.008527755737304688,136.0932466339241,0.31333333333333335
Surmise,200,borehole,0,7,0.0335688591003418,0.0006291866302490234,136.11514270097243,0.32666666666666666
PCGP,200,otlcircuit,0,7,8.580026865005493,0.01508188247680664,0.013874507587442667,1.0
Surmise,200,otlcircuit,0,7,0.26494598388671875,0.0008230209350585938,0.01573334668687379,1.0
PCGP,200,piston,0,7,11.053018808364868,0.09205389022827148,0.03365279182273245,0.9466666666666667
Surmise,200,piston,0,7,0.9635519981384277,0.0010428428649902344,0.03573252739414128,0.96
PCGP,300,borehole,0,7,15.659738063812256,0.013677120208740234,50.314823460037154,0.36
Surmise,300,borehole,0,7,0.043039798736572266,0.06839418411254883,50.50821264567947,0.3466666666666667
PCGP,300,otlcircuit,0,7,12.961356163024902,0.08286285400390625,0.01601388193608559,1.0
Surmise,300,otlcircuit,0,7,0.19751405715942383,0.0014371871948242188,0.016476427773259958,1.0
PCGP,300,piston,0,7,21.24537706375122,0.023621797561645508,0.033946699569827286,0.9066666666666666
Surmise,300,piston,0,7,1.2067351341247559,0.05559873580932617,0.035667753634966104,0.9266666666666666
PCGP,500,borehole,0,7,13.646003007888794,0.13742589950561523,152.4761720651566,0.22
Surmise,500,borehole,0,7,0.6648039817810059,0.04002094268798828,153.42422835360495,0.25333333333333335
PCGP,500,otlcircuit,0,7,24.440324068069458,0.05173897743225098,0.011759578981644637,1.0
Surmise,500,otlcircuit,0,7,0.7445418834686279,0.003922224044799805,0.015254580630355024,1.0
PCGP,500,piston,0,7,32.82383394241333,0.1356980800628662,0.02933433326166438,0.96
Surmise,500,piston,0,7,1.286949872970581,0.003437042236328125,0.03284075555367534,0.9066666666666666
PCGP,800,borehole,0,7,30.74062418937683,0.16405987739562988,450.5022146961696,0.04
Surmise,800,borehole,0,7,1.4038641452789307,0.008314847946166992,450.61170156468535,0.04
PCGP,800,otlcircuit,0,7,65.5029399394989,0.1694791316986084,0.009657020421708932,1.0
Surmise,800,otlcircuit,0,7,1.7619028091430664,0.011046171188354492,0.011070610521882367,1.0
PCGP,800,piston,0,7,72.03853607177734,0.11774587631225586,0.024556883598596747,0.9533333333333334
Surmise,800,piston,0,7,2.4992289543151855,0.006967067718505859,0.028457010762028216,0.9533333333333334
PCGP,100,borehole,0,8,2.6201159954071045,0.009380102157592773,115.4364469317572,0.12666666666666668
Surmise,100,borehole,0,8,0.013032197952270508,0.0004596710205078125,115.58636727858448,0.15333333333333332
PCGP,100,otlcircuit,0,8,6.287091970443726,0.015182971954345703,0.030442337507224665,0.9933333333333333
Surmise,100,otlcircuit,0,8,0.4886500835418701,0.0008838176727294922,0.03472866520536379,1.0
PCGP,100,piston,0,8,10.280432224273682,0.07615900039672852,0.05516020679166336,0.9066666666666666
Surmise,100,piston,0,8,0.4932060241699219,0.0012438297271728516,0.05711039983611186,0.8866666666666667
PCGP,200,borehole,0,8,6.7541608810424805,0.027377843856811523,18.76464370489608,0.5266666666666666
Surmise,200,borehole,0,8,0.08410501480102539,0.0007517337799072266,18.93176648833261,0.5266666666666666
PCGP,200,otlcircuit,0,8,13.299134969711304,0.14867305755615234,0.0213225141013793,1.0
Surmise,200,otlcircuit,0,8,0.1865081787109375,0.0012259483337402344,0.025687203722441997,1.0
PCGP,200,piston,0,8,8.92600703239441,0.10871005058288574,0.039036239383517385,0.9
Surmise,200,piston,0,8,0.7037179470062256,0.001110076904296875,0.04599552511950233,0.9066666666666666
PCGP,300,borehole,0,8,7.407717704772949,0.05770993232727051,196.0017291086177,0.0
Surmise,300,borehole,0,8,0.19308114051818848,0.0011379718780517578,196.00842368843678,0.0
PCGP,300,otlcircuit,0,8,10.852751970291138,0.04944300651550293,0.011212281256510158,1.0
Surmise,300,otlcircuit,0,8,0.33790016174316406,0.010391712188720703,0.017556566680950486,1.0
PCGP,300,piston,0,8,17.246723890304565,0.04314708709716797,0.03144789054225816,0.9066666666666666
Surmise,300,piston,0,8,1.3407161235809326,0.051065921783447266,0.03250692935496743,0.9466666666666667
PCGP,500,borehole,0,8,15.982158899307251,0.21586298942565918,103.53313109011047,0.02
Surmise,500,borehole,0,8,0.3185610771179199,0.0025069713592529297,103.54760209414903,0.006666666666666667
PCGP,500,otlcircuit,0,8,28.492035150527954,0.05905508995056152,0.024646131088943448,1.0
Surmise,500,otlcircuit,0,8,0.14857697486877441,0.0038802623748779297,0.026143666447291058,1.0
PCGP,500,piston,0,8,29.550072193145752,0.03250288963317871,0.030160780585267315,0.96
Surmise,500,piston,0,8,1.9876060485839844,0.003983020782470703,0.03743970930515101,0.9266666666666666
PCGP,800,borehole,0,8,35.82978081703186,0.18047785758972168,44.55785995026319,0.32
Surmise,800,borehole,0,8,1.6669650077819824,0.0072290897369384766,44.565432910738394,0.31333333333333335
PCGP,800,otlcircuit,0,8,45.21461319923401,0.031162023544311523,0.0142365050102686,1.0
Surmise,800,otlcircuit,0,8,1.7093157768249512,0.06661510467529297,0.014870816413753948,1.0
PCGP,800,piston,0,8,58.31870627403259,0.0605168342590332,0.022139134473686924,0.9533333333333334
Surmise,800,piston,0,8,0.9339509010314941,0.006761074066162109,0.020068896844634136,0.96
PCGP,100,borehole,0,9,1.1242029666900635,0.014639854431152344,30.191774033363345,0.48
Surmise,100,borehole,0,9,0.01337885856628418,0.00039196014404296875,30.186505506814733,0.5133333333333333
PCGP,100,otlcircuit,0,9,6.8044538497924805,0.00913691520690918,0.020458522141857206,1.0
Surmise,100,otlcircuit,0,9,0.23084497451782227,0.00045990943908691406,0.02172914473834448,1.0
PCGP,100,piston,0,9,15.706071138381958,0.010956048965454102,0.061503854418643984,0.84
Surmise,100,piston,0,9,0.6087596416473389,0.017591238021850586,0.06252277112152384,0.8733333333333333
PCGP,200,borehole,0,9,7.001285791397095,0.01918196678161621,4.750079264017901,0.8666666666666667
Surmise,200,borehole,0,9,0.04484081268310547,0.0006930828094482422,4.857219295316078,0.8866666666666667
PCGP,200,otlcircuit,0,9,8.278235912322998,0.019168853759765625,0.014010395601165184,1.0
Surmise,200,otlcircuit,0,9,0.3714790344238281,0.0009019374847412109,0.019360572613746456,1.0
PCGP,200,piston,0,9,12.451278924942017,0.13718509674072266,0.040093258414143455,0.9066666666666666
Surmise,200,piston,0,9,1.2506167888641357,0.0014791488647460938,0.04218210912468687,0.9066666666666666
PCGP,300,borehole,0,9,8.402045965194702,0.06593608856201172,33.22677407472736,0.44
Surmise,300,borehole,0,9,0.15415024757385254,0.0014290809631347656,33.23978552331065,0.42
PCGP,300,otlcircuit,0,9,8.817628383636475,0.05909872055053711,0.012325977585881914,1.0
Surmise,300,otlcircuit,0,9,0.2542288303375244,0.04682302474975586,0.014731139327601598,1.0
PCGP,300,piston,0,9,16.409935235977173,0.05490422248840332,0.03437978376396486,0.9333333333333333
