model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,seed,ci_coverage,pi_coverage
PCGP,500,borehole,0,0,3.3559539318084717,0.01209115982055664,58.00405689994052,42,56.00000000000001,56.00000000000001
Surmise,500,borehole,0,0,0.046259164810180664,0.0027437210083007812,58.03430700115114,42,57.333333333333336,58.666666666666664
PCGP,1000,borehole,0,0,15.59358811378479,0.024998188018798828,58.37842207864608,42,56.00000000000001,56.00000000000001
Surmise,1000,borehole,0,0,0.26951003074645996,0.007953882217407227,58.31503609121906,42,56.666666666666664,56.666666666666664
PCGP,1500,borehole,0,0,19.596431016921997,0.036051034927368164,58.59446063097063,42,55.333333333333336,56.00000000000001
Surmise,1500,borehole,0,0,0.7869279384613037,0.017520904541015625,58.621317443360255,42,56.00000000000001,56.00000000000001
